PdmarticleID;ExternalKey;ParentID;ProductLevel;show_in_2024
23806;IESAA00727000;20182;Item;yes
23804;IESAA00726800;20182;Item;yes
23809;IESAA00729000;20182;Item;yes
23055;IESEB00301000;20184;Item;yes
23056;IESEB00302000;20185;Item;yes
23846;IESAA00713200;12531;Item;yes
23869;IESAA00716200;12531;Item;yes
23819;IESAA00718200;15891;Item;yes
23848;IESAA00714200;15891;Item;yes
23800;IESAA00720000;15899;Item;yes
23827;IESAA00602000;15904;Item;yes
23828;IESAA00605000;15904;Item;yes
23829;IESAA00610000;15906;Item;yes
23070;IESUL00710000;15909;Item;yes
23071;IESUL00991000;15910;Item;yes
29303;IESAA00731000;15911;Item;yes
23816;IESAA00750000;15912;Item;yes
23817;IESAA00770000;15912;Item;yes
30062;ISAAB11800000;15918;Item;yes
31671;ISAAB12800000;15921;Item;yes
22615;ISALP11700000;12536;Item;yes
22477;ISALP11500700;22175;Item;yes
22566;ISAAP11800000;15922;Item;yes
22567;ISAAP11800699;22178;Item;yes
22582;ISABB03700600;22184;Item;yes
22583;ISABB04700600;22184;Item;yes
22581;ISABB02500600;22183;Item;yes
32747;ISABB01500600;22183;Item;yes
22577;ISABA02700600;22182;Item;yes
22578;ISABA03700600;22182;Item;yes
32086;ISABA04700600;22182;Item;yes
32745;ISABA01700600;22182;Item;yes
22584;ISABP01500600;22186;Item;yes
22585;ISABP02500600;22186;Item;yes
32824;ISABP04700600;22189;Item;yes
22470;ISABP03700600;22189;Item;yes
22474;ISABP05700600;22189;Item;yes
32753;ISARA02700000;32766;Item;yes
32755;ISARA03700000;32766;Item;yes
32757;ISARA04700000;32766;Item;yes
32759;ISARA05700000;32766;Item;yes
32754;ISARA02700600;32767;Item;yes
32756;ISARA03700600;32767;Item;yes
32758;ISARA04700600;32767;Item;yes
32760;ISARA05700600;32767;Item;yes
30061;ISAGR02700000;31849;Item;yes
32087;ISAGR03700000;31849;Item;yes
32751;ISAGR04700000;31849;Item;yes
32752;ISAGR05700000;31849;Item;yes
12572;IASA000013000;12538;Item;yes
12573;IASA000019000;12538;Item;yes
12576;IASA000025000;12538;Item;yes
28755;IASA000032000;12538;Item;yes
12584;IAPPCUB025030;12574;Item;yes
12585;IAPPCUB033037;12574;Item;yes
12586;IAPPCUB038041;12574;Item;yes
12587;IAPPCUB042046;12574;Item;yes
12588;IAPPCUB047052;12574;Item;yes
12589;IAPPCUB054058;12574;Item;yes
12590;IAPPCUB059063;12574;Item;yes
12591;IAPPCUB063068;12574;Item;yes
12592;IAPPCUB068073;12574;Item;yes
12593;IAPPCUB072080;12574;Item;yes
12594;IAPPCUB082085;12574;Item;yes
12595;IAPPCUB088092;12574;Item;yes
12596;IAPPCUB092099;12574;Item;yes
12597;IAPPCUB099103;12574;Item;yes
12598;IAPPCUB108112;12574;Item;yes
12599;IAPPCUB112118;12574;Item;yes
12600;IAPPCUB125130;12574;Item;yes
12601;IAPPCUB133137;12574;Item;yes
12602;IAPPCUB137142;12574;Item;yes
12603;IAPPCUB145152;12574;Item;yes
12604;IAPPCUB159164;12574;Item;yes
12605;IAPPCUB164169;12574;Item;yes
12606;IAPPCUB168173;12574;Item;yes
